"CD_CARGO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"CD_DETALHE_SITUACAO_CAND";"NR_PARTIDO";"SG_PARTIDO";"NR_FEDERACAO";"DT_NASCIMENTO";"CD_GENERO";"CD_SIT_TOT_TURNO";
"6";"1999";"BRUNO MORAES CARDOSO";"BRUNO MORAES";"2";"19";"PODE";"-1";"21/11/1987";"2";"4";
"6";"4099";"LAURO BENIGNO DE SOUZA";"PROF LAURO BENIGNO";"6";"40";"PSB";"-1";"06/06/1978";"2";"-1";
"7";"23233";"ELIZABETE DE SOUZA";"ELIZABETE";"2";"23";"CIDADANIA";"1";"10/10/1961";"4";"5";
"7";"44100";"ADONIS FRANCISCO DE ALMEIDA SOUZA";"SARGENTO ADONIS";"6";"44";"UNIÃO";"-1";"16/11/1980";"2";"-1";
"6";"1313";"FRANCIMAR FERNANDES DE ALBUQUERQUE";"FRANCIMAR FERNANDES";"2";"13";"PT";"2";"27/06/1946";"2";"4";
"7";"90789";"GILSOMAR OLIVEIRA GOMES";"GILSOMAR OLIVEIRA";"2";"90";"PROS";"-1";"16/09/1972";"2";"4";
"7";"51006";"ZILIANE MONTEIRO DA SILVA LIMA";"ZILIANE LIMA";"2";"51";"PATRIOTA";"-1";"31/10/1977";"4";"4";
"7";"15111";"ESPERIDIÃO MENEZES JUNIOR";"ESPERIDIÃO MENEZES JUNIOR";"2";"15";"MDB";"-1";"03/09/1963";"2";"5";
"7";"15001";"KELLY CRISTINA SILVA DE SOUZA OLIVEIRA";"KELLY CRISTINA";"2";"15";"MDB";"-1";"17/07/1992";"4";"5";
"7";"23007";"MARCELO RENER SIQUEIRA CONDE SILVA";"MARCELO SILVA";"14";"23";"CIDADANIA";"1";"28/02/1983";"2";"4";
"6";"4040";"THOR OLIVEIRA DANTAS";"DR THOR DANTAS";"2";"40";"PSB";"-1";"29/10/1973";"2";"4";
"7";"15300";"ITALO MESQUITA DA SILVA";"ITALO MESQUITA";"2";"15";"MDB";"-1";"07/06/1993";"2";"5";
"5";"444";"ALAN RICK MIRANDA";"ALAN RICK";"2";"44";"UNIÃO";"-1";"23/10/1976";"2";"1";
"6";"2015";"JOSIEL TAVARES DA SILVA";"JOSIEL TAVARES";"6";"20";"PSC";"-1";"26/07/1976";"2";"-1";
"7";"51008";"MARIA APARECIDA DA SILVA LIMA";"MARIA APARECIDA LIMA";"2";"51";"PATRIOTA";"-1";"04/06/1996";"4";"4";
"7";"15456";"MARIA JOSÉ NUNES RAMOS";"MAZÉ RAMOS";"2";"15";"MDB";"-1";"28/05/1964";"4";"5";
"7";"90456";"VILSEU FERREIRA DA SILVA";"VILSEU FERREIRA";"2";"90";"PROS";"-1";"18/04/1960";"2";"4";
"7";"77234";"MARCIA DE SOUZA LIMA";"MARCIA LIMA";"2";"77";"SOLIDARIEDADE";"-1";"26/03/1975";"4";"4";
"6";"1133";"MARIA SOCORRO SOARES DE OLIVEIRA";"SOCORRO FORMIGA";"2";"11";"PP";"-1";"05/11/1962";"4";"5";
"7";"50100";"FRANCISCO LIMA DA SILVA";"MAGUILA";"2";"50";"PSOL";"3";"27/07/1989";"2";"4";
"7";"90142";"FRANCISCO ARAÚJO MENEZES";"FRANCISCO ARAÚJO";"2";"90";"PROS";"-1";"12/01/1983";"2";"4";
"7";"44000";"MARIA HELENA TEIXEIRA DA SILVA";"HELENA SILVA";"2";"44";"UNIÃO";"-1";"01/07/1981";"4";"5";
"6";"4411";"EMILIO VIRGILIO LIMA DE OLIVEIRA";"CORONEL EMILIO";"2";"44";"UNIÃO";"-1";"28/09/1974";"2";"5";
"7";"55100";"RONAURO NASCIMENTO DE ARAUJO";"KASSIO ARAÚJO";"2";"55";"PSD";"-1";"11/12/1976";"2";"5";
"7";"12287";"MEIRANE OLIVEIRA DE LIMA";"MEIRY OLIVEIRA";"2";"12";"PDT";"-1";"24/08/1994";"4";"5";
"7";"44111";"JOSE AUGUSTO SOUZA ARAUJO";"AUGUSTO";"2";"44";"UNIÃO";"-1";"29/03/1965";"2";"5";
"7";"15777";"ANDRÉ GUSTAVO MARQUES MIGUEÍS";"ANDRÉ ARIOSTO";"2";"15";"MDB";"-1";"11/02/1977";"2";"5";
"7";"90800";"FRANCISCA SANTIAGO DE ALBUQUERQUE";"FRANCISCA SANTIAGO";"2";"90";"PROS";"-1";"23/07/1985";"4";"4";
"7";"22333";"ARLENILSON BARBOSA CUNHA";"ARLENILSON CUNHA";"2";"22";"PL";"-1";"25/03/1985";"2";"2";
"10";"222";"JOSE IVO PERES GALVÃO";"IVO GALVÃO";"2";"15";"MDB";"-1";"19/05/1964";"2";"4";
"7";"45888";"TIAGO MARTINS RODRIGUES";"TIAGO MARTINS";"2";"45";"PSDB";"1";"28/08/1989";"2";"5";
"9";"456";"JAIDER MOREIRA DE ALMEIDA";"JADER ALMEIDA ";"14";"45";"PSDB";"1";"14/04/1969";"2";"-1";
"7";"51100";"MARIO SERGIO RODRIGUES DE ARAÚJO";"SERGIO RODRIGUES";"14";"51";"PATRIOTA";"-1";"06/03/1981";"2";"4";
"6";"1200";"MARIA ROSILENE DANTAS BARROS";"RÔ DA BASE";"2";"12";"PDT";"-1";"05/07/1960";"4";"4";
"7";"33123";"MARIA NAZARÉ DE OLIVEIRA DE FREITAS";"NAZARÉ DO TACACÁ";"2";"33";"PMN";"-1";"05/04/1964";"4";"4";
"7";"40700";"VALDINÉA FERREIRA DA SILVA";"LÉIA";"2";"40";"PSB";"-1";"31/07/1951";"4";"5";
"7";"27123";"OSVALDO GOMES DE OLIVEIRA";"OSVALDO DO QUINTAL";"2";"27";"DC";"-1";"04/08/1961";"2";"4";
"7";"45005";"ANTONIO LIMA DA FONSECA";"TOINHO DO POVO";"2";"45";"PSDB";"1";"02/01/1963";"2";"5";
"6";"1312";"HENRY ANTÔNIO SILVA NOGUEIRA";"HENRY NOGUEIRA";"2";"13";"PT";"2";"26/06/1980";"2";"4";
"6";"1022";"KEILIANE NUNES DE MELO CORDEIRO";"KEILIANE CORDEIRO";"2";"10";"REPUBLICANOS";"-1";"01/05/1989";"4";"5";
"7";"36400";"RAIMUNDA HOLANDA DA SILVA";"RAI HOLANDA";"2";"36";"AGIR";"-1";"30/09/1964";"4";"4";
"7";"13012";"FÁBIO DE LIMA PEREIRA";"FABINHO";"2";"13";"PT";"2";"30/05/1991";"2";"5";
"7";"11333";"JENNIFER OLIVEIRA RODRIGUES";"JENNIFER OLIVEIRA";"2";"11";"PP";"-1";"09/02/2001";"4";"5";
"6";"5533";"SUELLEN CARLOS DA SILVA MORAIS";"SUELLEN CARLOS";"2";"55";"PSD";"-1";"20/08/1983";"4";"4";
"5";"456";"CARLOS AUGUSTO BEYRUTH BORGES";"BEYRUTH";"6";"45";"PSDB";"1";"26/11/1952";"2";"-1";
"7";"43123";"ITAMARA SOUZA DA COSTA";"ITAMARA SOUZA";"2";"43";"PV";"2";"13/12/1988";"4";"5";
"6";"4000";"FRANCISCO EVANDRO ROSAS DA COSTA";"EVANDRO ROSAS BARÃO";"2";"40";"PSB";"-1";"21/04/1963";"2";"4";
"7";"44190";"RAILSON ESTACIO DE ARAUJO";"CAPITÃO ESTACIO";"2";"44";"UNIÃO";"-1";"12/04/1969";"2";"5";
"7";"36789";"ANTONIO BATISTA DO NASCIMENTO";"PROFESSOR TONNY";"14";"36";"AGIR";"-1";"15/08/1967";"2";"4";
"7";"13333";"IDESIO LUIS FRANKE";"IDESIO";"2";"13";"PT";"2";"08/05/1967";"2";"5";
"9";"131";"SEBASTIÃO SIBÁ MACHADO OLIVEIRA";"SIBÁ MACHADO";"2";"13";"PT";"2";"24/01/1958";"2";"4";
"7";"15615";"MANOEL FRANCISCO PINTO DE LIMA";"CHICO DO ESPORTE";"2";"15";"MDB";"-1";"04/09/1967";"2";"5";
"7";"77526";"PAULO MACIEL DE SOUZA";"PAULO MACIEL";"2";"77";"SOLIDARIEDADE";"-1";"31/10/1976";"2";"4";
"7";"15023";"LUCIMAR SILVA DE LIMA";"LUCIMAR BRINDES";"2";"15";"MDB";"-1";"23/03/1971";"4";"5";
"3";"15";"CYLMARA FERNANDES DA ROCHA GRIPP";"MARA ROCHA";"2";"15";"MDB";"-1";"04/09/1973";"4";"4";
"7";"90300";"SAID DOS SANTOS NASCIMENTO";"DR. SAID SANTOS";"2";"90";"PROS";"-1";"27/10/1982";"2";"4";
"4";"55";"JOÃO TOTA SOARES DE FIGUEIREDO FILHO";"TOTA FILHO";"2";"55";"PSD";"-1";"20/10/1976";"2";"4";
"6";"4417";"PEDRO VALERIO DE ARAUJO";"PEDRO VALERIO";"2";"44";"UNIÃO";"-1";"12/07/1966";"2";"5";
"6";"4422";"ULYSSES FREITAS PEREIRA DE ARAUJO";"CORONEL ULYSSES";"2";"44";"UNIÃO";"-1";"19/10/1972";"2";"3";
"6";"3355";"ROZANA SOUSA DO NASCIMENTO";"ROZANA SOUSA";"2";"33";"PMN";"-1";"25/11/1985";"4";"4";
"7";"11789";"ELMA SERENO SALOMÃO HUNIKUI";"ELMA SERENO";"14";"11";"PP";"-1";"13/03/1989";"4";"-1";
"6";"4401";"LUIZ ANUTE DOS SANTOS";"LUIZ ANUTE";"2";"44";"UNIÃO";"-1";"20/10/1966";"2";"5";
"6";"4488";"EDUARDO OVIDIO BORGES DE VELLOSO VIANNA";"DR EDUARDO VELLOSO";"2";"44";"UNIÃO";"-1";"08/07/1976";"2";"3";
"7";"15321";"LOURIVAL MARQUES DE OLIVEIRA FILHO";"LOURIVAL MARQUES";"2";"15";"MDB";"-1";"22/09/1967";"2";"5";
"7";"12000";"JOSÉ MASTRANGELO FILHO";"JOSÉ MASTRANGELO";"2";"12";"PDT";"-1";"11/05/1984";"2";"5";
"7";"55655";"MIRTES MARIA FIRMINO DE SOUZA";"MIRTES SOUZA";"2";"55";"PSD";"-1";"08/07/1973";"4";"5";
"7";"51789";"MARIA APARECIDA DE LIMA MENEZES SILVEIRA";"PROFESSORA CIDA";"13";"51";"PATRIOTA";"-1";"03/09/1966";"4";"-1";
"7";"11111";"SANDRAK PEREIRA DA SILVA";"SANDRO TREME CAR";"2";"11";"PP";"-1";"30/06/1984";"2";"5";
"7";"50777";"FRANCISCO VANDERLEI COSTA DO NASCIMENTO";"CHICO DO ODER";"2";"50";"PSOL";"3";"16/09/1976";"2";"4";
"7";"51555";"IZAUTE BARROSO DE SOUZA";"IZAUTE VAZ";"2";"51";"PATRIOTA";"-1";"17/01/1978";"2";"4";
"7";"50000";"MANOEL MARQUES DE OLIVEIRA";"DUDA MARQUES";"2";"50";"PSOL";"3";"30/05/1974";"2";"4";
"7";"40444";"MARCELO AUGUSTO ALVES PIMENTA";"DR. MARCELO PIMENTA";"2";"40";"PSB";"-1";"05/10/1974";"2";"5";
"6";"1314";"IRENÍ HERCULANO UCHÔA MOURA";"IRENÍ UCHÔA";"2";"13";"PT";"2";"20/08/1973";"4";"4";
"7";"45045";"EVA GALVÃO DIAS";"EVA GALVÃO";"2";"45";"PSDB";"1";"11/08/1976";"4";"5";
"7";"27252";"EDSON DE LIMA DUARTE";"EDSON DUARTE";"6";"27";"DC";"-1";"18/02/1978";"2";"-1";
"6";"1800";"IUNA BARROS CHAVES";"IUNA CHAVES";"2";"18";"REDE";"3";"11/04/1986";"4";"4";
"6";"5055";"MARIA NILDA ROSA SAUL";"NILDA SAUL";"2";"50";"PSOL";"3";"18/05/1969";"4";"4";
"6";"4044";"LÚBIA ARAÚJO DE LIMA";"LÚBIA ARAÚJO";"2";"40";"PSB";"-1";"06/04/1973";"4";"4";
"7";"77456";"ANTONIO LEILDO OLIVEIRA DA SILVA";"TAMPINHA BITTAR";"2";"77";"SOLIDARIEDADE";"-1";"04/10/1977";"2";"4";
"6";"5151";"JORGE HENRIQUE MELO MULATO";"JH";"2";"51";"PATRIOTA";"-1";"23/05/1966";"2";"4";
"7";"18000";"FRANKLIN INGMA DA SILVA SANTOS";"PROFESSOR FRANKLIN";"6";"18";"REDE";"3";"01/09/1974";"2";"-1";
"6";"1277";"ORLEILSON GONÇALVES CAMELI";"ORLEILSON CAMELI";"2";"12";"PDT";"-1";"07/08/1975";"2";"4";
"6";"1000";"ANTÔNIA LUCILEIA CRUZ RAMOS CAMARA";"ANTÔNIA LUCIA";"2";"10";"REPUBLICANOS";"-1";"17/07/1970";"4";"2";
"7";"45678";"ELIAS DAIER GONÇALVES";"ELIAS DAIER";"6";"45";"PSDB";"1";"14/02/1973";"2";"-1";
"6";"1101";"MARIA DO SOCORRO NERI MEDEIROS DE SOUZA";"SOCORRO NERI";"2";"11";"PP";"-1";"19/05/1966";"4";"2";
"7";"43700";"ANGELINO SANTANA DOS SANTOS";"ANGELINO DO PANDEIRO";"2";"43";"PV";"2";"14/12/1963";"2";"5";
"7";"11022";"MARIA DE NAZARE PEREIRA DE SOUSA MARINHO";"NAZARÉ SOUSA";"2";"11";"PP";"-1";"02/11/1979";"4";"5";
"7";"44527";"IZAIAS FERREIRA LIMA";"CANTOR IZAÍAS LIMA";"2";"44";"UNIÃO";"-1";"15/10/1963";"2";"5";
"6";"4511";"NORMANDO RODRIGUES SALES";"NORMANDO SALES";"2";"45";"PSDB";"1";"26/06/1957";"2";"4";
"7";"51001";"ALEXANDRINA DA SILVA VASQUES";"ALEXANDRINA VASQUES";"2";"51";"PATRIOTA";"-1";"18/08/1982";"4";"4";
"7";"11222";"RICHARD MOURA ROCHA";"RICHARD ROCHA";"2";"11";"PP";"-1";"29/09/1980";"2";"5";
"9";"500";"FRANCISCO AUGUSTO FELISBERTO MAIA";"AUGUSTO MAIA";"2";"50";"PSOL";"3";"13/08/1976";"2";"4";
"7";"44123";"ANTONIO PEDRO MENDONÇA";"ANTONIO PEDRO";"2";"44";"UNIÃO";"-1";"10/07/1955";"2";"5";
"6";"1225";"RAYNER DE ARAUJO NERI";"RAYNER NERI";"2";"12";"PDT";"-1";"10/06/1988";"2";"4";
"7";"36666";"BENEDITO GUIMARÃES DE LIMA";"BENÉ LIMA";"2";"36";"AGIR";"-1";"03/08/1982";"2";"4";
"7";"10888";"TAQUEO DA SILVA KOHATSU";"TAQUEO DA BAIXADA";"14";"10";"REPUBLICANOS";"-1";"07/05/1986";"2";"4";
"6";"9022";"DALVA SANTOS DO NASCIMENTO";"DALVA SANTOS";"14";"90";"PROS";"-1";"15/11/1957";"4";"4";
"7";"22500";"JOSE TARCISIO MEDEIROS DE MORAES";"TARCISIO PINHEIRO";"2";"22";"PL";"-1";"28/04/1964";"2";"5";
"7";"51000";"MAURICIO DE OLIVEIRA ARAUJO";"MAURICIO DO CHALÉ";"2";"51";"PATRIOTA";"-1";"29/08/1985";"2";"4";
"7";"40111";"MANOEL ALMEIDA DA SILVA";"MANOEL ALMEIDA";"2";"40";"PSB";"-1";"21/12/1975";"2";"5";
"7";"44333";"VANIO PEREIRA MIRANDA";"VANIO MIRANDA";"2";"44";"UNIÃO";"-1";"16/10/1977";"2";"5";
"7";"45123";"RUDILEI SOARES DE SOUZA";"RUDILEI ESTRELA ";"2";"45";"PSDB";"1";"30/10/1978";"2";"5";
"6";"4004";"RIZOMAR DOS SANTOS DE ARAÚJO";"RIZO ARAÚJO";"2";"40";"PSB";"-1";"19/07/1982";"2";"4";
"7";"36555";"VAGNER DA SILVA OLIVEIRA GOMES";"VAGNER SILVA";"2";"36";"AGIR";"-1";"11/04/1982";"2";"4";
"10";"456";"ABILIO BENTO FILHO";"BILU";"14";"45";"PSDB";"1";"26/06/1975";"2";"-1";
"7";"27000";"RAIMUNDO NONATO FERREIRA SANTOS";"CEARÁ DA CARNE DE SOL";"6";"27";"DC";"-1";"05/04/1956";"2";"-1";
"7";"22678";"ROSEANE MANASFI DA SILVA";"ROSE DA ENDEMIAS";"2";"22";"PL";"-1";"20/10/1976";"4";"5";
"7";"22888";"FRANCIRLEY BARROSO DOS SANTOS";"FRANCIRLEY BARROSO";"2";"22";"PL";"-1";"30/05/1977";"2";"5";
"7";"45121";"LUIZ GONZAGA ALVES FILHO";"LUIZ GONZAGA";"2";"45";"PSDB";"1";"20/03/1959";"2";"2";
"7";"27022";"DARMECLEY DE SOUZA ALMEIDA";"MICHEL BOCÃO";"2";"27";"DC";"-1";"31/08/1974";"2";"4";
"6";"1044";"EUDEMIR GOMES BEZERRA";"CORONEL EUDEMIR";"2";"10";"REPUBLICANOS";"-1";"28/01/1970";"2";"5";
"7";"77070";"ANTONIA REGIANE DA SILVA MACIEL";"PASTORA REGIANE MACIEL";"2";"77";"SOLIDARIEDADE";"-1";"20/10/1980";"4";"4";
"7";"45190";"CADMIEL JOSE ARAUJO BOMFIM";"SGT CADMIEL BOMFIM";"2";"45";"PSDB";"1";"03/05/1980";"2";"5";
"6";"4088";"QUELE CRISTINA OLIVEIRA DA SILVA";"KELLY CRISTINA ";"2";"40";"PSB";"-1";"10/11/1978";"4";"4";
"7";"77468";"EDILEUDO ROCHA DA SILVA";"PROFESSOR EDILEUDO";"2";"77";"SOLIDARIEDADE";"-1";"27/04/1966";"2";"4";
"7";"90444";"BRIGIDO DE OLIVEIRA BRIGIDO";"BRIGIDO OLIVEIRA";"2";"90";"PROS";"-1";"04/03/1989";"2";"4";
"7";"13613";"ADONAY DE OLIVEIRA BRITO";"ADONAY";"2";"13";"PT";"2";"24/02/1964";"2";"5";
"7";"12247";"ROGGER DA SILVA";"ROGGER WINS";"2";"12";"PDT";"-1";"24/12/1991";"2";"5";
"6";"1910";"LUDMILLA CRISTINA FERNANDES CAVALCANTE";"LUDMILLA CAVALCANTE";"2";"19";"PODE";"-1";"11/12/1998";"4";"4";
"7";"22002";"EVANIELY DANTAS DA SILVA";"EVA DANTAS";"2";"22";"PL";"-1";"02/04/1998";"4";"5";
"7";"90900";"MAYARA FARIAS DE MOURA BARROS";"MAYARA FARIAS";"2";"90";"PROS";"-1";"17/09/1994";"4";"4";
"7";"51444";"LEONCIO TEMOTEO DE CASTRO";"LEONCIO CASTRO";"2";"51";"PATRIOTA";"-1";"11/08/1979";"2";"4";
"10";"444";"MICHEL NEGREIROS CASAGRANDE";"CORONEL CASAGRANDE";"2";"44";"UNIÃO";"-1";"22/12/1982";"2";"1";
"7";"36100";"JACINEIDE DE ARAUJO DINIZ";"JOYCE DOS BURACOS";"2";"36";"AGIR";"-1";"18/11/1979";"4";"4";
"6";"4333";"MAURA MARIA DE AQUINO PENHA";"PROTETORA MAURA AKINO";"2";"43";"PV";"2";"31/12/1972";"4";"4";
"4";"11";"MAILZA ASSIS DA SILVA";"MAILZA";"2";"11";"PP";"-1";"10/12/1976";"4";"1";
"7";"13013";"CESÁRIO CAMPELO BRAGA";"CESÁRIO BRAGA";"2";"13";"PT";"2";"18/10/1984";"2";"5";
"6";"7733";"JESUS RODRIGUES DA SILVA";"JESUS SILVA";"2";"77";"SOLIDARIEDADE";"-1";"05/07/1973";"2";"4";
"7";"55255";"FÁTIMA MARIA PEDROSA MACIEL";"FÁTIMA MACIEL";"2";"55";"PSD";"-1";"01/09/1960";"4";"5";
"7";"65234";"LETICIA SANTOS DA SILVA";"LETÍCIA";"2";"65";"PC do B";"2";"05/02/1999";"4";"5";
"6";"1090";"DIEGO PABLO PAZ GOMES";"SARGENTO PAZ";"2";"10";"REPUBLICANOS";"-1";"21/03/1988";"2";"5";
"6";"4077";"MARIA ROSINEIA DA SILVA FROTA";"PROFESSORA ROSINEIA FROTA ";"2";"40";"PSB";"-1";"18/05/1978";"4";"4";
"4";"44";"GEORGIA CRISTINA HERNANDEZ MICHELETTI";"DRA GEORGIA MICHELETTI";"2";"44";"UNIÃO";"-1";"03/05/1977";"4";"4";
"7";"12121";"VANESSA NASCIMENTO FACUNDES MAIA";"VANESSA FACUNDES";"2";"12";"PDT";"-1";"04/08/1994";"4";"5";
"7";"22789";"FRANCISCO LUZIEL CUNHA DE CARVALHO";"DR LUZIEL CARVALHO";"2";"22";"PL";"-1";"07/12/1975";"2";"5";
"7";"40555";"RAIMUNDA DE QUEIROZ FEITOSA";"RAIMUNDA QUEIROZ";"2";"40";"PSB";"-1";"25/10/1996";"4";"5";
"7";"44777";"MARCIA ABREU DA SILVA";"MARCIA ABREU";"2";"44";"UNIÃO";"-1";"03/04/1981";"4";"5";
"7";"45011";"DAIANE FONTINELE COELHO DA SILVA";"DAIANE SILVA";"2";"45";"PSDB";"1";"21/08/1991";"4";"5";
"7";"15888";"GILBERTO GIL GOUVEA DINIZ";"GILBERTO DINIZ";"2";"15";"MDB";"-1";"03/05/1973";"2";"5";
"7";"90999";"GILBERTO SOUZA DE FIGUEIREDO";"BETO FIGUEIREDO";"2";"90";"PROS";"-1";"27/07/1979";"2";"4";
"6";"4555";"LANNA CARMEN VAZ DE ARAUJO";"LANNA VAZ";"2";"45";"PSDB";"1";"02/12/1991";"4";"4";
"6";"7777";"LICIA MARA NASCIMENTO DE VASCONCELOS FIDELIS";"LÍCIA FIDELIS";"2";"77";"SOLIDARIEDADE";"-1";"15/05/1988";"4";"4";
"4";"13";"MARCUS ALEXANDRE MEDICI AGUIAR VIANA DA SILVA";"MARCUS ALEXANDRE";"2";"13";"PT";"2";"13/06/1977";"2";"4";
"6";"5500";"MOISES BARROS DE MEDEIROS";"MOISES MEDEIROS";"2";"55";"PSD";"-1";"17/06/1977";"2";"4";
"7";"19555";"ANTÔNIO LEONARDO DE ARAUJO SOUZA";"LÉO ARAÚJO";"2";"19";"PODE";"-1";"16/05/1993";"2";"5";
"7";"13777";"MARCELO CASTRO MACEDO";"MARCELO MACÊDO";"2";"13";"PT";"2";"14/09/1982";"2";"5";
"7";"20000";"JOSIEL TAVARES DA SILVA";"JOSIEL TAVARES";"6";"20";"PSC";"-1";"26/07/1976";"2";"-1";
"7";"51123";"GISLAY LUNIERE DE ARAUJO";"GIS ARAUJO";"2";"51";"PATRIOTA";"-1";"18/12/1995";"4";"4";
"7";"12612";"FABIO DE ARAUJO FREITAS";"FÁBIO ARAÚJO";"2";"12";"PDT";"-1";"25/06/1981";"2";"5";
"7";"55552";"MARIA DE NAZARÉ SANTOS DA CUNHA";"NAZARÉ DA RODA VIVA";"2";"55";"PSD";"-1";"19/02/1960";"4";"5";
"7";"33333";"DAVI FRIALE ASSIS MELO";"DAVI FRIALE";"14";"33";"PMN";"-1";"20/07/1971";"2";"4";
"6";"5122";"RENILDO SOUZA DE JESUS";"PASTOR RENILDO";"2";"51";"PATRIOTA";"-1";"18/11/1967";"2";"4";
"7";"22123";"YARGO RODRIGUES DE OLIVEIRA";"YARGO RODRIGUES";"2";"22";"PL";"-1";"23/12/1987";"2";"5";
"10";"131";"SEBASTIÃO AFONSO SANTOS DE SOUZA";"TIÃO BRUZUGU";"2";"43";"PV";"2";"07/04/1961";"2";"4";
"7";"50444";"AMANDA SOUZA DA COSTA";"AMANDA SOUZA";"2";"50";"PSOL";"3";"24/10/1999";"4";"4";
"7";"50510";"GILBERTO ALVES DE MEDEIROS";"GILBERTO MEDEIROS";"2";"50";"PSOL";"3";"05/09/1962";"2";"4";
"7";"11777";"MARIA RENILDA SANTANA DA COSTA";"BRANCA DO LIBERDADE";"2";"11";"PP";"-1";"10/01/1973";"4";"5";
"7";"22023";"OTACILIA PEREIRA DA SILVA";"PASTORA OTACILIA SILVA";"2";"22";"PL";"-1";"09/12/1980";"4";"5";
"3";"50";"NILSON EUCLIDES DA SILVA";"PROFESSOR NILSON";"2";"50";"PSOL";"3";"24/05/1964";"2";"4";
"7";"11122";"NICOLAU CANDIDO DA SILVA JUNIOR";"NICOLAU JUNIOR";"2";"11";"PP";"-1";"08/09/1984";"2";"2";
"7";"12888";"ANTÔNIA DE SOUZA NASCIMENTO";"ANTÔNIA DO LANCHE";"2";"12";"PDT";"-1";"09/03/1966";"4";"5";
"7";"50222";"ADERLANDIO MEDEIROS DA SILVA";"NOVA S";"2";"50";"PSOL";"3";"28/02/1979";"2";"4";
"6";"9010";"REGINALDO RAIMUNDO DA SILVA FREIRE";"REGINALDO NOTA 10";"14";"90";"PROS";"-1";"17/01/1971";"2";"-1";
"7";"12133";"JOAQUIM FLORÊNCIO DA SILVA";"JOAQUIM FLORÊNCIO";"2";"12";"PDT";"-1";"16/09/1970";"2";"5";
"7";"90680";"FRANCISCO ADEVILSON QUEIROZ DA SILVA";"ADEVILSON QUEIROZ";"2";"90";"PROS";"-1";"17/08/1979";"2";"4";
"7";"22777";"FRANCISCO LABIBIANO MAIA PEREIRA";"LABIB";"2";"22";"PL";"-1";"06/01/1972";"2";"5";
"7";"50999";"MONICA MARIA DINIZ LIRA";"MÔNICA DINIZ";"2";"50";"PSOL";"3";"11/10/1979";"4";"4";
"7";"90899";"BRUNA SILVA LIMA";"BRUNA LIMA";"2";"90";"PROS";"-1";"17/06/1993";"4";"4";
"6";"7799";"MAURICIO DINIZ LIMA";"MAURICIO DINIZ";"2";"77";"SOLIDARIEDADE";"-1";"15/01/1960";"2";"4";
"7";"36000";"JOSE ROBERTO PINTO DE LIMA";"ROBERTO PINTO";"2";"36";"AGIR";"-1";"20/11/1971";"2";"4";
"7";"13555";"CARLOS GOMES DE SOUSA";"CARLOS GOMES";"2";"13";"PT";"2";"22/07/1980";"2";"5";
"6";"1023";"KATIANNY DA SILVA ARAÚJO";"KATIANNY ARAÚJO";"2";"10";"REPUBLICANOS";"-1";"03/09/1985";"4";"5";
"6";"9044";"EDNA APARECIDA NANTES DE CASTRO";"EDNA NANTES";"2";"90";"PROS";"-1";"22/01/1978";"4";"4";
"7";"77123";"MARIO PEREIRA DE LIMA";"MAJOR MARIO";"2";"77";"SOLIDARIEDADE";"-1";"08/06/1970";"2";"4";
"7";"77355";"LAUANA DA SILVA ARAÚJO";"LAUANA ARAUJO";"2";"77";"SOLIDARIEDADE";"-1";"25/08/1999";"4";"4";
"7";"12222";"ANTÔNIO AURISERGIO SERGIO DE MENEZES OLIVEIRA";"TOM SÉRGIO";"2";"12";"PDT";"-1";"14/02/1979";"2";"5";
"6";"2022";"LUANA WELLY DA SILVA ARAUJO";"LUANA ARAÚJO";"2";"20";"PSC";"-1";"22/08/1991";"4";"4";
"7";"50888";"HERILTON ALVES FONTENELE";"HERILTON FONTENELE";"2";"50";"PSOL";"3";"15/08/1982";"2";"4";
"6";"3344";"ANTONIO DANTAS DA SILVA";"ANTONIO DANTAS";"2";"33";"PMN";"-1";"21/09/1981";"2";"4";
"7";"90222";"FRANCISCO CARLOS OLIVEIRA DE LIMA";"CHICARLOS";"2";"90";"PROS";"-1";"17/04/1968";"2";"4";
"7";"50223";"SEBASTIÃO RENATO SILVA LOPES";"RENATO LOPES";"2";"50";"PSOL";"3";"20/01/1975";"2";"4";
"7";"10321";"HELENARA RODRIGUES BEZ";"HELENARA BEZ";"6";"10";"REPUBLICANOS";"-1";"06/04/1979";"4";"-1";
"7";"11211";"WALDI SILVA JARDIM DE ARAÚJO";"TENENTE JARDIM";"2";"11";"PP";"-1";"26/04/1975";"2";"5";
"7";"19789";"RUTENILSON CRISPIM DA SILVA";"NIL CRISPIM";"2";"19";"PODE";"-1";"28/04/1986";"2";"5";
"7";"13789";"MARIA DE JESUS BEZERRA DO NASCIMENTO";"DUDA DA PRAIA DA AMIZADE";"6";"13";"PT";"2";"09/03/1976";"4";"-1";
"7";"33242";"ANTONIO DALIO DE ALMEIDA";"PR ANTONIO ALMEIDA";"2";"33";"PMN";"-1";"06/03/1964";"2";"4";
"6";"5555";"SIRLENE OLIVEIRA DA CUNHA";"LENE PETECÃO";"2";"55";"PSD";"-1";"31/01/1964";"4";"4";
"10";"900";"ANTÔNIO JOSÉ COSTA DA SILVA";"JOSÉ COSTA";"2";"14";"PTB";"-1";"21/03/1982";"2";"4";
